"path","disposition","target_phase","rationale"
"README.md","REFACTOR","Phase 1","Update from Tauri assumptions to web-first PWA runtime and IndexedDB bootstrap."
"TODO.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/00-project-brief.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/01-product-vision.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/02-information-architecture.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/03-sidebar-navigation.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/04-domain-model.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/05-user-workflows.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/06-design-principles.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/07-build-plan.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/08-scope-boundaries.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/09-routing.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/10-ui-architecture.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/11-state-management.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/12-future-roadmap.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/ADR-0001-local-first.md","DEFER","Historical reference","Superseded desktop-first or earlier persistence decision retained as decision history."
"docs/OLUSO Project Delivery System/00 — Methodology & Governance/00 — OLUSO Project Delivery Methodology.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/01 — OLUSO Capability Roadmap and Delivery Sequence.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 0 — Platform Integrity and Meeting Readiness.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 1 — Organizations, People, and Work.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 2 — Field Assurance, Incidents, and Actions.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 3 — Industrial Hygiene and Occupational Health.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 4 — Training, Competency, and Contractor Readiness.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 5 — Management of Change and Pre-Startup Review.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 6 — Environmental and Compliance Management.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/01 — Capability Roadmap/Campaign Plans/Campaign 7 — Document Context, Reporting, and Migration.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/02 — Phase Plans/02 — OLUSO Phase Plan Template.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/03 — Specifications & Decisions/03 — OLUSO Part and Coding-Agent Work Package Template.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/04 — Verification & Migration/04 — OLUSO Verification and Migration Gate Standard.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/OLUSO Project Delivery System/START HERE — OLUSO Project Delivery System.docx","DEFER","Historical reference","Pre-reset delivery artifact retained for traceability but not authoritative for ADAMA HSE implementation."
"docs/README.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/adr/ADR-0001-local-first.md","DEFER","Historical reference","Superseded desktop-first or earlier persistence decision retained as decision history."
"docs/adr/ADR-0002-navigation-structure.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/adr/ADR-0003-registers-vs-records.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/adr/ADR-0004-persistence-stack.md","DEFER","Historical reference","Superseded desktop-first or earlier persistence decision retained as decision history."
"docs/adr/ADR-0005-desktop-runtime.md","DEFER","Historical reference","Superseded desktop-first or earlier persistence decision retained as decision history."
"docs/adr/ADR-0007-record-identity-and-lifecycle.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/adr/ADR-0008-web-only-local-first-runtime.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/adr/ADR-0009-browser-persistence.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/adr/ADR-0010-reviewed-exchange-protocol.md","RETAIN","Phase 0-1","Architecture-reset decision, audit evidence, governed inventory, or implementation status."
"docs/adr/README.md","RETAIN","Phase 0+","Current project direction, scope, workflow, or roadmap documentation."
"docs/agent-specs/coding-agent-rules.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/agent-specs/file-change-policy.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/agent-specs/implementation-prompt-template.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/agent-specs/out-of-scope-list.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
"docs/agent-specs/review-prompt-template.md","REFACTOR","Phases 1-7","Useful specification surface must be reconciled with the typed ADAMA HSE domain and web-only architecture."
